message_id,timestamp_utc,text
393703,2025-09-18T15:06:35+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on SOLUSDT @ $250: Buy $50,691"
393702,2025-09-18T15:04:01+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on ETHUSDT @ $4,622: Buy $150,968"
393701,2025-09-18T14:50:14+00:00,"📉[Bybit](http://whalebot.co/Bybit) liquidated Long on AVAXUSDT @ $32.66: Sell $194,582"
393700,2025-09-18T14:42:37+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on PENGUUSDT @ $0.04: Buy $1,571,603"
393699,2025-09-18T14:42:27+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on SUIUSDT @ $3.99: Buy $133,558"
393698,2025-09-18T14:40:20+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on DRIFTUSDT @ $0.9215: Buy $93,722"
393697,2025-09-18T14:33:14+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on BARDUSDT @ $0.99: Sell $82,132"
393696,2025-09-18T14:23:49+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on SOLUSDT @ $249.10: Buy $50,268"
393695,2025-09-18T14:23:49+00:00,"📈[Bybit](http://whalebot.co/Bybit) liquidated Short on BTCUSDT @ $118,352.70: Buy $103,559"
393694,2025-09-18T14:17:22+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on EIGENUSDT @ $2.06: Buy $50,303"
393693,2025-09-18T14:12:57+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on ETHUSDT @ $4,630: Buy $105,049"
393692,2025-09-18T14:00:34+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on ETHUSDT @ $4,607: Buy $70,582"
393691,2025-09-18T13:55:26+00:00,"📉[Binance](https://whalebot.co/BinanceFutures) Liquidated Long on ETHUSDT @ $4,553: Sell $91,952"
393690,2025-09-18T13:50:40+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on PENGUUSDT @ $0.04: Buy $56,624"
393689,2025-09-18T13:50:39+00:00,"📈[Binance](https://whalebot.co/BinanceFutures) Liquidated Short on BTCUSDT @ $117,890: Buy $71,677"
